2025-07-16T14:51:27.549Z,PERPUSDT,bitunix,0.005,bybit,0.00005,196.0396,3.550 
2025-07-16T14:51:27.719Z,API3USDT,bitunix,0.005,bybit,0.00005,196.0396,3.798 
2025-07-16T14:51:27.724Z,SUPERUSDT,bitunix,0.005,bybit,0.00005,196.0396,3.631 
2025-07-16T14:51:27.753Z,ONEUSDT,bitunix,0.01,bybit,0.0001,196.0396,3.837 
2025-07-16T14:51:27.818Z,COMPUSDT,bitunix,0.01,bybit,0.0001,196.0396,3.845 
2025-07-16T14:51:27.936Z,SAFEUSDT,bitunix,0.005,bybit,0.00005,196.0396,4.017 
2025-07-16T14:51:28.434Z,HIFIUSDT,bitunix,0.005,bybit,0.00005,196.0396,4.430 
2025-07-16T14:51:28.487Z,KAIAUSDT,bitunix,0.005,bybit,0.00005,196.0396,4.433 
2025-07-16T14:51:28.820Z,AXSUSDT,bitunix,0.01,bybit,0.0001,196.0396,4.892 
2025-07-16T14:51:28.834Z,GPSUSDT,bitunix,0.005,bybit,0.00005,196.0396,4.838 
2025-07-16T14:51:29.030Z,METISUSDT,bitunix,0.005,bybit,0.00005,196.0396,4.455 
2025-07-16T14:51:29.215Z,CKBUSDT,bitunix,0.01,bybit,0.0001,196.0396,5.292 
2025-07-16T14:51:29.331Z,ACEUSDT,bitunix,0.005,bybit,0.00005,196.0396,5.399 
2025-07-16T14:51:29.353Z,QNTUSDT,bitunix,0.01,bybit,0.0001,196.0396,5.608 
2025-07-16T14:51:29.355Z,CELRUSDT,bitunix,0.01,bybit,0.0001,196.0396,5.381 
2025-07-16T14:51:29.426Z,NEWTUSDT,bitunix,0.001125,bybit,0.0000125,195.6044,5.007 
2025-07-16T14:51:29.427Z,NILUSDT,bitunix,0.005,bybit,0.00005,196.0396,5.500 
2025-07-16T14:51:29.429Z,CAKEUSDT,bitunix,0.005,bybit,0.00005,196.0396,5.344 
2025-07-16T14:51:29.453Z,MKRUSDT,bitunix,0.01,bybit,0.0001,196.0396,5.157 
2025-07-16T14:51:29.456Z,BICOUSDT,bitunix,0.01,bybit,0.0001,196.0396,5.247 
2025-07-16T14:51:29.552Z,FUSDT,bitunix,0.005,bybit,0.0001,192.1569,5.336 
2025-07-16T14:51:29.675Z,DUSKUSDT,bitunix,0.01,bybit,0.0001,196.0396,5.469 
2025-07-16T14:51:29.730Z,AXLUSDT,bitunix,0.00075,bybit,0.0000125,193.4426,5.241 
2025-07-16T14:51:29.943Z,ORCAUSDT,bitunix,0.005,bybit,0.000025,198.0100,6.021 
2025-07-16T14:51:30.327Z,SCRUSDT,bitunix,0.005,bybit,0.00005,196.0396,6.235 
2025-07-16T14:51:30.352Z,AUSDT,bitunix,0.005,bybit,0.00005,196.0396,6.353 
2025-07-16T14:51:30.417Z,KMNOUSDT,bitunix,0.005,bybit,0.00005,196.0396,6.124 
2025-07-16T14:51:30.445Z,LAUSDT,bitunix,0.00125,bybit,0.0000125,196.0396,6.352 
2025-07-16T14:51:30.536Z,BANKUSDT,bitunix,0.003,bybit,0.00005,193.4426,6.607 
2025-07-16T14:51:30.538Z,EPICUSDT,bitunix,0.005,bybit,0.00005,196.0396,6.568 
2025-07-16T14:51:30.637Z,MNTUSDT,bitunix,0.01,bybit,0.0001,196.0396,6.222 
2025-07-16T14:51:30.929Z,PLUMEUSDT,bitunix,0.005,bybit,0.00005,196.0396,6.715 
2025-07-16T14:51:30.962Z,KSMUSDT,bitunix,0.01,bybit,0.0001,196.0396,6.896 
2025-07-16T14:51:30.964Z,ALTUSDT,bitunix,0.005,bybit,0.00005,196.0396,6.754 
2025-07-16T14:51:31.046Z,BRUSDT,bitunix,0.005,bybit,0.00005,196.0396,7.126 
2025-07-16T14:51:31.050Z,IPUSDT,bitunix,0.005,bybit,0.000025,198.0100,6.758 
2025-07-16T14:51:31.078Z,MAVUSDT,bitunix,0.01,bybit,0.0001,196.0396,7.163 
2025-07-16T14:51:31.082Z,AVAUSDT,bitunix,0.005,bybit,0.00005,196.0396,6.590 
2025-07-16T14:51:31.515Z,COWUSDT,bybit,0.000025,bitunix,-0.019895,-200.5033,7.308 
2025-07-16T14:51:31.528Z,SQDUSDT,bitunix,0.005,bybit,0.00005,196.0396,7.314 
2025-07-16T14:51:31.544Z,SPKUSDT,bitunix,0.005,bybit,0.00005,196.0396,7.613 
2025-07-16T14:51:31.546Z,AWEUSDT,bitunix,0.00495,bybit,0.00005,196.0000,7.053 
2025-07-16T14:51:31.588Z,ENJUSDT,bitunix,0.01,bybit,0.0001,196.0396,7.618 
2025-07-16T14:51:31.595Z,ACHUSDT,bitunix,0.01,bybit,0.00005,198.0100,7.665 
2025-07-16T14:51:31.628Z,CFXUSDT,bitunix,0.01,bybit,0.0001,196.0396,7.214 
